Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,"515,119","515,330","468,324","401,028","478,449","518,038","526,304","530,735","541,302","539,114","533,941","538,548"
2021,"559,230","544,891","603,581","608,961","605,282","611,950","601,817","605,533","609,671","618,573","624,874","619,938"
2022,"631,509","638,101","651,027","660,194","659,847","666,113","659,550","663,566","661,854","668,671","659,458","651,763"
2023,"680,253","672,152","665,071","670,494","673,902","677,117","678,424","684,755","689,403","686,148","685,328","686,277"
2024,"680,456","685,280","687,641","687,602","692,774","692,922","699,098","697,522","703,079","707,613","712,145","717,662"
2025,"711,461",,,,,,,,,,,
